date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:41	203596/203596	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/checkout.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/checkout.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:41	195339/195339	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/user-registration.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/user-registration.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:42	195459/195459	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/user-login.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/user-login.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:43	38536/38536	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ce249e-9688%22	https://ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	D:/glowness/ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:44	9930/9930	---M--	200	added ('OK')	image/jpeg	etag:%226662716d-26ca%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/images/background/bg-mega-menu-shop.jpg	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/assets/images/background/bg-mega-menu-shop.jpg	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:44	209249/209249	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/grid.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/blog/grid.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:45	216129/216129	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/grid-sidebar.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/blog/grid-sidebar.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:47	207100/207100	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/masonry.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/blog/masonry.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:47	216719/216719	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/list.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/blog/list.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:48	217203/217203	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/classic.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/blog/classic.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:49	217817/217817	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/details-01.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/blog/details-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:49	222638/222638	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/details-02.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/blog/details-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:50	204750/204750	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/about-us-01.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/about-us-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:51	204065/204065	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/about-us-02.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/about-us-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:52	197436/197436	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/contact-us-01.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/contact-us-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:52	196668/196668	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/contact-us-02.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/contact-us-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:52	163659/163659	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/dashboard.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/dashboard.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:54	154820/154820	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/product-grid.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/product-grid.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:55	159913/159913	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/order-list.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/order-list.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:55	151315/151315	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/sellers-cards.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/sellers-cards.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:55	149434/149434	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/add-product-1.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/add-product-1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:56	151329/151329	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/transactions-1.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/transactions-1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:57	165447/165447	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/reviews.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/reviews.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:58	154697/154697	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/brands.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/brands.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:59	148321/148321	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/profile-settings.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/dashboard/profile-settings.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
